k,n,shares_used,success,matches_original,time_seconds
3,10,1,True,False,0.0005507999994733837
3,10,2,True,False,0.0013840000001437147
3,10,3,True,True,0.0022871999999551917
3,10,4,True,True,0.0034045000002151937
3,10,5,True,True,0.004576100000122096
3,10,6,True,True,0.006000699999276549z
3,10,7,True,True,0.00753679999979795
3,10,8,True,True,0.00917120000030991
3,10,9,True,True,0.010535399999753281
3,10,10,True,True,0.012386500000502565
5,10,1,True,False,0.0005037000000811531
5,10,2,True,False,0.0012995999995837337
5,10,3,True,False,0.0021549000002778484
5,10,4,True,False,0.003224699999918812
5,10,5,True,True,0.004397699999572069
5,10,6,True,True,0.005637100000058126
5,10,7,True,True,0.007163600000239967
5,10,8,True,True,0.008680699999786157
5,10,9,True,True,0.01049070000044594
5,10,10,True,True,0.012469500000406697
8,10,1,True,False,0.0005044999998062849
8,10,2,True,False,0.0012955000001966255
8,10,3,True,False,0.0021520000000236905
8,10,4,True,False,0.0031945999999152264
8,10,5,True,False,0.004427099999702477
8,10,6,True,False,0.005655599999954575
8,10,7,True,False,0.00709759999972448
8,10,8,True,True,0.008784599999671627
8,10,9,True,True,0.010506999999961408
8,10,10,True,True,0.01237429999946471
10,10,1,True,False,0.000504200000250421
10,10,2,True,False,0.0013059000002613175
10,10,3,True,False,0.0021725000005972106
10,10,4,True,False,0.00323000000025786
10,10,5,True,False,0.004419099999722675
10,10,6,True,False,0.005739199999879929
10,10,7,True,False,0.007140800000343006
10,10,8,True,False,0.008806400000139547
10,10,9,True,False,0.01050759999998263
10,10,10,True,True,0.012460699999792268
