n,k,run,share_gen_encryption_time_sec,reconstruction_time_sec,peak_memory_mb,data_transferred_mb,ipfs_objects
5,3,1,2.4032,0.013,4.26,2.0,7
5,3,2,2.3493,0.0114,4.01,2.0,7
5,3,3,2.1859,0.0084,4.01,2.0,7
5,3,4,2.2056,0.0075,4.01,2.0,7
5,3,5,2.2367,0.0077,4.01,2.0,7
5,3,6,2.1764,0.0092,4.01,2.0,7
5,3,7,2.1853,0.0097,4.01,2.0,7
5,3,8,2.1687,0.0075,4.01,2.0,7
5,3,9,2.218,0.0074,4.01,2.0,7
5,3,10,2.22,0.0079,4.01,2.0,7
10,5,1,2.1868,0.0142,4.01,2.0,12
10,5,2,2.1961,0.015,4.01,2.0,12
10,5,3,2.2315,0.014,4.01,2.0,12
10,5,4,2.1828,0.0139,4.01,2.0,12
10,5,5,2.2005,0.014,4.01,2.0,12
10,5,6,2.1999,0.0148,4.01,2.0,12
10,5,7,2.2837,0.0155,4.01,2.0,12
10,5,8,2.1917,0.0142,4.01,2.0,12
10,5,9,2.1599,0.0148,4.01,2.0,12
10,5,10,2.208,0.015,4.01,2.0,12
10,8,1,2.2161,0.0281,4.01,2.0,12
10,8,2,2.2074,0.0279,4.01,2.0,12
10,8,3,2.2139,0.0266,4.01,2.0,12
10,8,4,2.2486,0.0282,4.01,2.0,12
10,8,5,2.1874,0.0289,4.01,2.0,12
10,8,6,2.1854,0.0293,4.01,2.0,12
10,8,7,2.1833,0.0316,4.01,2.0,12
10,8,8,2.2019,0.0305,4.01,2.0,12
10,8,9,2.2463,0.0313,4.01,2.0,12
10,8,10,2.1551,0.0266,4.01,2.0,12
20,15,1,2.2244,0.0732,4.01,2.01,22
20,15,2,2.3022,0.0735,4.01,2.01,22
20,15,3,2.2484,0.073,4.01,2.01,22
20,15,4,2.2098,0.0702,4.01,2.01,22
20,15,5,2.2353,0.0703,4.01,2.01,22
20,15,6,2.2171,0.0694,4.01,2.01,22
20,15,7,2.2439,0.073,4.01,2.01,22
20,15,8,2.2367,0.0797,4.01,2.01,22
20,15,9,2.2812,0.0705,4.01,2.01,22
20,15,10,2.282,0.0748,4.01,2.01,22
50,30,1,2.3183,0.2416,4.03,2.01,52
50,30,2,2.3722,0.2539,4.03,2.01,52
50,30,3,2.3291,0.2701,4.02,2.01,52
50,30,4,2.4403,0.2538,4.02,2.01,52
50,30,5,2.3504,0.2358,4.02,2.01,52
50,30,6,2.4254,0.2515,4.02,2.01,52
50,30,7,2.4375,0.2734,4.02,2.01,52
50,30,8,2.4163,0.2775,4.02,2.01,52
50,30,9,2.3541,0.2451,4.03,2.01,52
50,30,10,2.4579,0.2355,4.02,2.01,52
100,60,1,2.9168,0.9109,4.06,2.02,102
100,60,2,2.8994,0.9303,4.06,2.02,102
100,60,3,2.8757,0.8578,4.06,2.02,102
100,60,4,2.8481,0.893,4.06,2.02,102
100,60,5,3.0001,0.9039,4.06,2.02,102
100,60,6,2.9529,0.9041,4.06,2.02,102
100,60,7,2.8298,0.9157,4.06,2.02,102
100,60,8,2.8786,0.8494,4.06,2.02,102
100,60,9,2.9375,0.9276,4.06,2.02,102
100,60,10,2.8833,0.8464,4.06,2.02,102
