repetition,attack,modified_field,expected_result,actual_result,passed
1,none (control),n/a,Accept,Accept,True
1,target_round tamper,drand.target_round,Reject,Reject,True
1,payload_cid tamper,payload_cid,Reject,Reject,True
1,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
1,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
2,none (control),n/a,Accept,Accept,True
2,target_round tamper,drand.target_round,Reject,Reject,True
2,payload_cid tamper,payload_cid,Reject,Reject,True
2,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
2,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
3,none (control),n/a,Accept,Accept,True
3,target_round tamper,drand.target_round,Reject,Reject,True
3,payload_cid tamper,payload_cid,Reject,Reject,True
3,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
3,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
4,none (control),n/a,Accept,Accept,True
4,target_round tamper,drand.target_round,Reject,Reject,True
4,payload_cid tamper,payload_cid,Reject,Reject,True
4,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
4,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
5,none (control),n/a,Accept,Accept,True
5,target_round tamper,drand.target_round,Reject,Reject,True
5,payload_cid tamper,payload_cid,Reject,Reject,True
5,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
5,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
6,none (control),n/a,Accept,Accept,True
6,target_round tamper,drand.target_round,Reject,Reject,True
6,payload_cid tamper,payload_cid,Reject,Reject,True
6,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
6,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
7,none (control),n/a,Accept,Accept,True
7,target_round tamper,drand.target_round,Reject,Reject,True
7,payload_cid tamper,payload_cid,Reject,Reject,True
7,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
7,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
8,none (control),n/a,Accept,Accept,True
8,target_round tamper,drand.target_round,Reject,Reject,True
8,payload_cid tamper,payload_cid,Reject,Reject,True
8,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
8,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
9,none (control),n/a,Accept,Accept,True
9,target_round tamper,drand.target_round,Reject,Reject,True
9,payload_cid tamper,payload_cid,Reject,Reject,True
9,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
9,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
10,none (control),n/a,Accept,Accept,True
10,target_round tamper,drand.target_round,Reject,Reject,True
10,payload_cid tamper,payload_cid,Reject,Reject,True
10,center_pubkey tamper,centers[0].pubkey,Reject,Reject,True
10,shard_cid tamper,shard_cids[0].cid,Reject,Reject,True
