n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,3,1,0,Fail,Fail,True,1.1999982234556228e-06
10,3,1,1,Fail,Fail,True,0.0007402000010188203
10,3,1,2,Fail,Fail,True,0.0014931000005162787
10,3,1,3,Decrypt,Decrypt,True,0.0037493999989237636
10,3,1,4,Decrypt,Decrypt,True,0.0049462999995739665
10,3,1,5,Decrypt,Decrypt,True,0.0051314999982423615
10,3,1,6,Decrypt,Decrypt,True,0.006489499999588588
10,3,1,7,Decrypt,Decrypt,True,0.007972999999765307
10,3,1,8,Decrypt,Decrypt,True,0.009785499998542946
10,3,1,9,Decrypt,Decrypt,True,0.011429100002715131
10,3,1,10,Decrypt,Decrypt,True,0.01338450000184821
10,3,2,0,Fail,Fail,True,8.999995770864189e-07
10,3,2,1,Fail,Fail,True,0.0006314999991445802
10,3,2,2,Fail,Fail,True,0.0013698000002477784
10,3,2,3,Decrypt,Decrypt,True,0.0025922000022546854
10,3,2,4,Decrypt,Decrypt,True,0.0037688000011257827
10,3,2,5,Decrypt,Decrypt,True,0.005171000000700587
10,3,2,6,Decrypt,Decrypt,True,0.006463600002462044
10,3,2,7,Decrypt,Decrypt,True,0.007795900000928668
10,3,2,8,Decrypt,Decrypt,True,0.009477500003413297
10,3,2,9,Decrypt,Decrypt,True,0.011394199998903787
10,3,2,10,Decrypt,Decrypt,True,0.013497599997208454
10,3,3,0,Fail,Fail,True,3.9999940781854093e-07
10,3,3,1,Fail,Fail,True,0.0006066999994800426
10,3,3,2,Fail,Fail,True,0.0015277999991667457
10,3,3,3,Decrypt,Decrypt,True,0.002504899999621557
10,3,3,4,Decrypt,Decrypt,True,0.003596099999413127
10,3,3,5,Decrypt,Decrypt,True,0.004861500001425156
10,3,3,6,Decrypt,Decrypt,True,0.006330500000331085
10,3,3,7,Decrypt,Decrypt,True,0.007959399998071603
10,3,3,8,Decrypt,Decrypt,True,0.009545799999614246
10,3,3,9,Decrypt,Decrypt,True,0.011467199998151045
10,3,3,10,Decrypt,Decrypt,True,0.01344750000134809
10,3,4,0,Fail,Fail,True,4.00003045797348e-07
10,3,4,1,Fail,Fail,True,0.0006138999997347128
10,3,4,2,Fail,Fail,True,0.001542199999676086
10,3,4,3,Decrypt,Decrypt,True,0.002563399997598026
10,3,4,4,Decrypt,Decrypt,True,0.0036942000006092712
10,3,4,5,Decrypt,Decrypt,True,0.00492600000143284
10,3,4,6,Decrypt,Decrypt,True,0.006295399998634821
10,3,4,7,Decrypt,Decrypt,True,0.009185900002194103
10,3,4,8,Decrypt,Decrypt,True,0.011311799997201888
10,3,4,9,Decrypt,Decrypt,True,0.011704299999109935
10,3,4,10,Decrypt,Decrypt,True,0.013412299998890376
10,3,5,0,Fail,Fail,True,1.1000010999850929e-06
10,3,5,1,Fail,Fail,True,0.0006052999997336883
10,3,5,2,Fail,Fail,True,0.0015248999989125878
10,3,5,3,Decrypt,Decrypt,True,0.002499599999282509
10,3,5,4,Decrypt,Decrypt,True,0.0036344000000099186
10,3,5,5,Decrypt,Decrypt,True,0.004813800002011703
10,3,5,6,Decrypt,Decrypt,True,0.006412599999748636
10,3,5,7,Decrypt,Decrypt,True,0.0079187000010279
10,3,5,8,Decrypt,Decrypt,True,0.009501999997155508
10,3,5,9,Decrypt,Decrypt,True,0.01150459999917075
10,3,5,10,Decrypt,Decrypt,True,0.013384199999563862
10,3,6,0,Fail,Fail,True,1.1999982234556228e-06
10,3,6,1,Fail,Fail,True,0.0006269000004976988
10,3,6,2,Fail,Fail,True,0.0013444000032905024
10,3,6,3,Decrypt,Decrypt,True,0.002495400000043446
10,3,6,4,Decrypt,Decrypt,True,0.0036402000005182344
10,3,6,5,Decrypt,Decrypt,True,0.004938499998388579
10,3,6,6,Decrypt,Decrypt,True,0.006330099997285288
10,3,6,7,Decrypt,Decrypt,True,0.007986499997059582
10,3,6,8,Decrypt,Decrypt,True,0.009724999999889405
