pdf_size_mb,run_id,n,k,puzzle_time_target_sec,ipfs_backend,puzzle_generation_sec,inner_lock_sec,outer_lock_sec,shamir_split_sec,centre_encryption_sec,ipfs_upload_sec,ipfs_fetch_sec,centre_reconstruction_sec,shamir_combine_sec,outer_decrypt_sec,rsw_solve_sec,total_ipfs_bytes,wall_clock_total_sec,reconstruction_correct
1,1,10,8,2,simulated,2.1655,0.1397,0.0146,0.0048,0.006,0.0001,0.0001,0.001,0.0153,0.0014,2.0688,2100322,4.4838,True
1,2,10,8,2,simulated,2.1777,0.1336,0.0014,0.0048,0.0014,0.0001,0.0001,0.001,0.0137,0.0013,2.0138,2100322,4.3835,True
1,3,10,8,2,simulated,2.1249,0.0921,0.0012,0.0032,0.001,0.0001,0.0,0.0007,0.009,0.0011,1.8835,2100322,4.1435,True
1,4,10,8,2,simulated,2.1021,0.0921,0.0012,0.0032,0.001,0.0001,0.0001,0.0007,0.0092,0.0011,1.9769,2100322,4.213,True
1,5,10,8,2,simulated,2.0919,0.0999,0.0012,0.0031,0.001,0.0001,0.0001,0.0007,0.0107,0.0011,2.0513,2100322,4.3039,True
5,1,10,8,2,simulated,2.1081,0.1539,0.0072,0.0032,0.0009,0.0001,0.0001,0.0007,0.0091,0.0069,2.1002,10488930,4.4398,True
5,2,10,8,2,simulated,2.1273,0.1445,0.0073,0.0032,0.0009,0.0001,0.0001,0.0007,0.009,0.0067,2.1209,10488930,4.476,True
5,3,10,8,2,simulated,2.1169,0.1599,0.0076,0.0032,0.0009,0.0001,0.0001,0.0007,0.009,0.007,2.1014,10488930,4.4533,True
5,4,10,8,2,simulated,2.1426,0.1554,0.0081,0.0032,0.001,0.0001,0.0,0.0007,0.0091,0.0072,2.0909,10488930,4.4668,True
5,5,10,8,2,simulated,2.1177,0.1682,0.0068,0.0032,0.001,0.0001,0.0001,0.0007,0.0089,0.0072,2.0878,10488930,4.4492,True
10,1,10,8,2,simulated,2.1011,0.2237,0.0161,0.0033,0.001,0.0001,0.0001,0.0007,0.0091,0.0173,2.1473,20974690,4.6132,True
10,2,10,8,2,simulated,2.1121,0.2057,0.0143,0.0032,0.0009,0.0001,0.0001,0.0007,0.0091,0.014,2.236,20974690,4.6785,True
10,3,10,8,2,simulated,2.1087,0.2312,0.015,0.0048,0.001,0.0001,0.0001,0.0008,0.01,0.0163,2.3149,20974690,4.8026,True
10,4,10,8,2,simulated,2.1166,0.2304,0.0179,0.0032,0.001,0.0001,0.0001,0.0009,0.0112,0.0178,2.1674,20974690,4.656,True
10,5,10,8,2,simulated,2.1149,0.2128,0.0159,0.0032,0.001,0.0001,0.0001,0.0007,0.0094,0.0162,2.2989,20974690,4.7629,True
25,1,10,8,2,simulated,2.1302,0.4666,0.0394,0.0033,0.001,0.0001,0.0001,0.0007,0.0092,0.0375,2.5443,52431970,5.4902,True
25,2,10,8,2,simulated,2.151,0.4922,0.0323,0.0032,0.001,0.0001,0.0001,0.001,0.0116,0.0362,2.4927,52431970,5.4559,True
25,3,10,8,2,simulated,2.1042,0.5426,0.0563,0.0032,0.001,0.0001,0.0,0.0008,0.0109,0.0334,2.3765,52431970,5.3763,True
25,4,10,8,2,simulated,2.1505,0.3857,0.0194,0.0031,0.0009,0.0001,0.0,0.0007,0.0108,0.0217,2.3861,52431970,5.177,True
25,5,10,8,2,simulated,2.1073,0.4273,0.03,0.0035,0.0016,0.0001,0.0001,0.0007,0.0089,0.0318,2.4744,52431970,5.3248,True
50,1,10,8,2,simulated,2.1163,0.8181,0.0415,0.0031,0.0009,0.0001,0.0001,0.0007,0.0089,0.0445,2.8795,104860770,6.4313,True
50,2,10,8,2,simulated,2.1152,0.7516,0.0624,0.0032,0.0011,0.0001,0.0001,0.0007,0.009,0.0626,2.9474,104860770,6.4674,True
50,3,10,8,2,simulated,2.1721,0.7771,0.0664,0.0032,0.001,0.0001,0.0001,0.0007,0.009,0.0615,2.8342,104860770,6.4179,True
50,4,10,8,2,simulated,2.1974,0.8522,0.0589,0.0036,0.001,0.0001,0.0001,0.0007,0.0092,0.0585,2.7603,104860770,6.4459,True
50,5,10,8,2,simulated,2.1003,0.7099,0.0383,0.0031,0.0009,0.0001,0.0,0.0016,0.009,0.0397,2.7938,104860770,6.1645,True
100,1,10,8,2,simulated,2.1721,1.4958,0.0836,0.0031,0.0009,0.0001,0.0,0.0007,0.0104,0.0794,3.8453,209718370,8.677,True
100,2,10,8,2,simulated,2.1467,1.9328,0.0976,0.0047,0.0014,0.0001,0.0001,0.0011,0.0134,0.1034,3.7545,209718370,9.1628,True
100,3,10,8,2,simulated,2.1265,1.4946,0.1111,0.0031,0.0009,0.0001,0.0,0.0007,0.0115,0.0873,3.6226,209718370,8.4247,True
100,4,10,8,2,simulated,2.2735,1.5183,0.1115,0.0031,0.0009,0.0001,0.0,0.0007,0.0091,0.0776,5.2996,209718370,12.0023,True
100,5,10,8,2,simulated,2.1872,1.5639,0.0799,0.0043,0.001,0.0001,0.0,0.0007,0.0105,0.0798,3.3414,209718370,8.1897,True
